[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 서비터 힐 (1127/12), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 서먼 리애니메이티드 맨 (1129/7), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 패스트 서비터 (1144/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 뱀피릭 터치 (1147/6), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 데스 스파이크 (1148/14), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 콥스 라이프 드레인 (1151/17), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 서먼 커럽티드 맨 (1154/6), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 콥스 버스트 (1155/16), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 포겟 (1156/13), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 바디 투 마인드 (1157/5), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 커스 데스 링크 (1159/23), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 슬로우 (1160/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 커스 디스코드 (1163/14), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 커스 위크니스 (1164/20), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 포이즌 클라우드 (1167/6), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 커스 포이즌 (1168/7), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 커스 피어 (1169/15), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 앵커 (1170/14), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 오라 번 (1172/8), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 윈드 스트라이크 (1177/5), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 플레임 스트라이크 (1181/3), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 아이스 볼트 (1184/6), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 셀프 힐 (1216/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 블레이즈 (1220/8), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 커스 카오스 (1222/16), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 서먼 뮤 더 캣 (1225/4), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 뱀피릭 클로 (1234/29), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 트랜스퍼 페인 (1262/5), class:윈드 라이더, Player:가츠[268469059], BROADCAST
